MovieID,ChiTitle,EngTitle,ReleaseDate,StartWeekNo,ReleaseWkNo,Distributor,WeekendBO,FinalBO,Budget_mil,Country,D_Gen8,vacation,note
EMD0583801,暮光之城：破曉I,The Twilight Saga: Breaking Dawn - Part 1,2011/11/18,5844,5838,,,,,,,,
EMD0584101,101次新年快樂,New Year's Eve,2011/12/9,5844,5841,,,,,,,,
EMD0584201,不可能的任務：鬼影行動,Mission: Impossible - Ghost Protocol,2011/12/15,5844,5842,,,,,,,,
EMD0584202,鼠來寶3,Alvin and the Chipmunks 3D,2011/12/16,5844,5842,,,,,,,,
EMD0584203,戀愛恐慌症,Lovesick,2011/12/16,5844,5842,,,,,,,,
EMD0584301,我們買了動物園,We Bought A Zoo,2011/12/23,5844,5843,,2259751,9279118,15,0,8,0,
EMD0584302,福爾摩斯：詭影遊戲,Sherlock Holmes: A Game Of Shadows,2011/12/23,5844,5843,,20285629,96261212,16,0,1,0,
EMD0584303,龍門飛甲,The Flying Swords of Dragon Gate,2011/12/23,5844,5843,,,,,,,,
EMD0584401,鞋貓劍客,Puss In Boots,2011/12/30,5844,5844,,6582816,18851954,10,0,5,0,
EMD0584402,千禧三部曲I：龍紋身的女孩,The Girl With The Dragon Tattoo,2011/12/30,5844,5844,,4188443,20953146,14.2,0,1,0,
EMD0584403,醉後型男日記,The Rum Diary,2011/12/30,5844,5844,,1160951,3453806,NA,0,4,0,
EMD0584404,咆哮山莊,Wuthering Heights [2011],2011/12/30,5844,5844,,,,,,,,
EMD0584501,黑暗時刻,The Darkest Hour,2012/1/6,5844,5845,,3220894,8524074,12,0,1,0,
EMD0584502,怨靈,The Rabbit Horror(3D),2012/1/6,5844,5845,,,,,,,,
EMD0584601,龍飛鳳舞,Flying Dragon Dancing Phoenix,2012/1/13,5844,5846,,498378,2932856,9,1,5,0,總統大選日
EMD0584602,痞子英雄首部曲：全面開戰,Black & White,2012/1/13,5844,5846,,4682805,37910773,12,1,1,0,總統大選日
EMD0584701,決戰異世界：未來復甦,Underworld Awakening,2012/1/20,5844,5847,,3264765,37728385,10,0,1,1,農曆春節
EMD0584702,麻吉‧妖怪島,Friends: Naki on the monster island,2012/1/20,5844,5847,,,,,,,,
EMD0584703,陣頭,Din Tao: Leader Of The Parade,2012/1/20,5844,5847,,1635214,106200840,8.5,1,4,1,農曆春節
EMD0584704,喜羊羊與灰太郎4：開心闖龍年,Mission Incredible: Adventures On The Dragon's Trail,2012/1/20,5844,5847,,,,,,,,
EMD0584705,禁運品,Contraband,2012/1/20,5844,5847,,1613865,22993493,8,0,1,1,農曆春節
EMD0584706,新天生一對,Perfect Two,2012/1/20,5844,5847,,1127360,16097791,10,1,4,1,農曆春節
EMD0584707,地心冒險2：神秘島,Journey 2: The Mysterious Island,2012/1/20,5844,5847,,5296110,61689950,20,1,3,1,農曆春節
EMD0584708,逆戰,The Viral Factor,2012/1/20,5844,5847,,770499,6393032,NA,2,1,1,農曆春節
EMD0584709,即刻反擊,Haywire,2012/1/20,5844,5847,,850473,6982772,NA,0,1,1,農曆春節
EMD0584801,寶島大爆走,Bang Bang Formosa,2012/1/27,5844,5848,,586968,1496187,5,1,5,1,農曆春節
EMD0584901,驚天換日,Man on a Ledge,2012/2/3,5844,5849,,,,,,,,
EMD0584902,超世紀戰神,RA. One,2012/2/3,5844,5849,,,,,,,,
EMD0584903,愛的麵包魂,The Soul Of The Bread,2012/2/3,5844,5849,,2469346,7324082,10,1,4,0,
EMD0584904,大魔術師,The Great Magician,2012/2/3,5844,5849,,1584757,4366414,NA,0,4,0,
EMD0584905,超能失控,Chronicle,2012/2/3,5844,5849,,4506900,11120833,12,0,1,0,
EMD0585001,分居風暴,A Separation,2012/2/10,5844,5850,,,,,,,,
EMD0585002,星際大戰：威脅潛伏3D版,Star Wars: Episode I – The Phantom Menace 3D,2012/2/10,5844,5850,,766845,1745855,7,0,3,2,情人節
EMD0585003,狡兔計畫,Safe House,2012/2/10,5844,5850,,6778966,25197579,10,0,1,2,情人節
EMD0585004,愛,LOVE,2012/2/10,5844,5850,,12850160,75068627,10,1,4,2,情人節
EMD0585005,美女與野獸3D版,Beauty And The Beast 3D,2012/2/10,5844,5850,,76970,204835,0.03,0,4,2,情人節
EMD0585006,頭號冤家,One For The Money,2012/2/10,5844,5850,,1310245,3919084,NA,0,5,2,情人節
EMD0585101,戰馬,War Horse,2012/2/17,5845,5851,,1963612,7348226,3.5,0,4,0,
EMD0585102,雨果的冒險,Hugo,2012/2/17,5849,5851,,1210060,8987120,1,0,3,0,
EMD0585103,3D惡靈戰警：復仇時刻,Ghost Rider: Spirit of Vengeance,2012/2/17,5845,5851,,7345435,19144100,7,0,3,0,
EMD0585104,重裝教士,Machine Gun Preacher,2012/2/17,5845,5851,,367630,904273,NA,0,1,0,
EMD0585105,繼承人生,Descendants,2012/2/17,5845,5851,,2811497,11602237,3.2,0,4,0,
EMD0585106,靈動檔案,The Awakening,2012/2/17,5844,5851,,,,,,,,
EMD0585201,龍鳳大雙胞,Jack and Jill,2012/2/24,5846,5852,,1944273,4901944,1.8,0,5,1,228連假
EMD0585202,大藝術家,The Artist,2012/2/24,5848,5852,,574266,4862328,3,0,4,1,228連假
EMD0585203,特務愛很大,This Means Wars,2012/2/24,5846,5852,,6791171,36188344,12,0,1,1,228連假
EMD0585204,鐵娘子：堅固柔情,The Iron Lady,2012/2/24,5848,5852,,3131509,20140516,NA,0,4,1,228連假
EMD0585205,心靈鑰匙,Extremely Loud and Incredibly Close,2012/2/24,5846,5852,,2591068,9876374,7,0,4,1,228連假
EMD0585301,金陵十三釵,Flowers of War,2012/3/2,5847,5853,,1100401,3287570,3.3,0,4,0,
EMD0585302,失戀33天,Love Is Not Blind,2012/3/2,5848,5853,,374615,1341144,6,0,4,0,
EMD0585303,夢露與我的浪漫週記,My Week with Marilyn,2012/3/2,5848,5853,,334797,871522,NA,0,4,0,
EMD0585304,顫慄黑影,The Woman In Black,2012/3/2,5844,5853,,,,,,,,
EMD0585305,昨日的記憶,When Yesterday Comes,2012/3/2,5844,5853,,,,,,4,,
EMD0585401,鯨奇之旅,Big Miracle,2012/3/9,5848,5854,,855019,2164967,3,0,4,0,
EMD0585402,異星戰場：強卡特戰記,John Carter,2012/3/9,5848,5854,,9977019,24870818,16.5,0,3,0,
EMD0585403,強艾德格,J. Edgar,2012/3/9,5848,5854,,2024154,5322097,5,0,4,0,
EMD0585404,桃姐,A Simple Life,2012/3/9,5848,5854,,6020976,29914669,7,0,4,0,
EMD0585501,海豹神兵：英勇行動,Act Of Valor,2012/3/16,5849,5855,,4237484,16606453,NA,0,1,0,
EMD0585502,致命救援,Gone,2012/3/16,5849,5855,,1201792,2801370,3,0,1,0,
EMD0585503,即刻獵殺,The Grey,2012/3/16,5848,5855,,2453411,5743664,8,0,1,0,
EMD0585504,以愛之名：翁山蘇姬,The Lady,2012/3/16,5848,5855,,1571274,10041258,3,0,4,0,
EMD0585601,心魔,The Devil Inside,2012/3/23,5849,5856,,1622644,4411430,4,0,4,0,
EMD0585602,飲食男女2：好遠又好近,Eat Drink Man Woman II,2012/3/23,5849,5856,,238107,730931,NA,0,4,0,
EMD0585603,飢餓遊戲,The Hunger Games,2012/3/23,5849,5856,龍祥,15199910,72503317,NA,0,3,0,
EMD0585604,第三個願望,The Third Wish,2012/3/23,5844,5856,,,,,,,,
EMD0585701,諜影行動,"Tinker, Tailor, Soldier, Spy",2012/3/30,5851,5857,,NA,NA,NA,0,1,0,
EMD0585702,羅雷司,The Lorax,2012/3/30,5849,5857,,2574092,7987002,8,0,5,0,
EMD0585703,怒戰天神,Wrath Of The Titans,2012/3/30,5849,5857,,10087960,29052539,16,0,3,0,
EMD0585704,逆轉人生,Intouchables,2012/3/30,5844,5857,,,,,,,,
