WeekNo,EOLWeek,MovieID,ChiTitle,Area,Aware,Interest,DI,Interest_TOP2,DI_Aware_ratio,FirstChoice,Aware_Male,Aware_Female,Aware_15_19age,Aware_20_24age,Aware_25_29age,Aware_30_34age,Aware_35_39age,Aware_40_44age,DI_Male,DI_Female,DI_15_19age,DI_20_24age,DI_25_29age,DI_30_34age,DI_35_39age,DI_40_44age,Interest_Male,Interest_Female,Interest_15_19age,Interest_20_24age,Interest_25_29age,Interest_30_34age,Interest_35_39age,Interest_40_44age,FirstChoice_Male,FirstChoice_Female,FirstChoice_15_19age,FirstChoice_20_24age,FirstChoice_25_29age,FirstChoice_30_34age,FirstChoice_35_39age,FirstChoice_40_44age
5843,W7,EMD0584301,我們買了動物園,TP,0.67,0.355,0.155,0.51,0.231343284,0.035,0.61,0.73,0.62,0.72,0.66,0.68,,,0.1,0.21,0.16,0.1,0.22,0.14,,,0.32,0.39,0.24,0.4,0.42,0.36,,,0.012345679,0.073170732,0.095238095,0,0.022727273,0.054054054,,
5843,W7,EMD0584302,福爾摩斯：詭影遊戲,TP,0.79,0.325,0.465,0.79,0.588607595,0.32,0.77,0.81,0.8,0.8,0.76,0.8,,,0.51,0.42,0.34,0.44,0.56,0.52,,,0.31,0.34,0.44,0.34,0.24,0.28,,,0.37037037,0.414634146,0.238095238,0.4,0.477272727,0.459459459,,
5843,W7,EMD0584401,鞋貓劍客,TP,0.735,0.365,0.215,0.58,0.292517007,0.065,0.72,0.75,0.7,0.82,0.76,0.66,,,0.2,0.23,0.24,0.28,0.2,0.14,,,0.35,0.38,0.32,0.32,0.46,0.36,,,0.074074074,0.085365854,0.119047619,0.1,0.045454545,0.054054054,,
5843,W7,EMD0584402,千禧三部曲I：龍紋身的女孩,TP,0.725,0.365,0.18,0.545,0.248275862,0.055,0.69,0.76,0.62,0.78,0.72,0.78,,,0.2,0.16,0.1,0.18,0.24,0.2,,,0.33,0.4,0.34,0.36,0.3,0.46,,,0.061728395,0.073170732,0.047619048,0.1,0.045454545,0.081081081,,
5843,W7,EMD0584403,醉後型男日記,TP,0.555,0.42,0.11,0.53,0.198198198,0.01,0.54,0.57,0.48,0.48,0.66,0.6,,,0.13,0.09,0.06,0.06,0.18,0.14,,,0.4,0.44,0.48,0.36,0.34,0.5,,,0.012345679,0.012195122,0.023809524,0,0,0.027027027,,
5843,W7,EMD0584501,黑暗時刻,TP,0.29,0.29,0.135,0.425,0.465517241,0.03,0.27,0.31,0.26,0.36,0.24,0.3,,,0.18,0.09,0.06,0.16,0.16,0.16,,,0.31,0.27,0.2,0.34,0.3,0.32,,,0.074074074,0,0.023809524,0.05,0.068181818,0,,
5843,W7,EMD0584601,龍飛鳳舞,TP,0.225,0.155,0.03,0.185,0.133333333,0,0.2,0.25,0.14,0.3,0.32,0.14,,,0.02,0.04,0,0,0.08,0.04,,,0.18,0.13,0.1,0.14,0.16,0.22,,,0,0,0,0,0,0,,
5843,W7,EMD0584602,痞子英雄首部曲：全面開戰,TP,0.705,0.295,0.23,0.525,0.326241135,0.095,0.71,0.7,0.66,0.74,0.74,0.68,,,0.23,0.23,0.24,0.16,0.32,0.2,,,0.3,0.29,0.2,0.3,0.3,0.38,,,0.111111111,0.12195122,0.166666667,0.075,0.159090909,0.054054054,,
5843,W7,EMD0584701,決戰異世界：未來復甦,TP,0.315,0.315,0.17,0.485,0.53968254,0.045,0.37,0.26,0.28,0.36,0.34,0.28,,,0.22,0.12,0.14,0.14,0.24,0.16,,,0.31,0.32,0.22,0.32,0.32,0.4,,,0.086419753,0.024390244,0.095238095,0.05,0.045454545,0.027027027,,
5843,W7,EMD0584703,陣頭,TP,0.34,0.185,0.085,0.27,0.25,0.015,0.33,0.35,0.24,0.46,0.42,0.24,,,0.09,0.08,0.08,0.08,0.14,0.04,,,0.2,0.17,0.14,0.1,0.3,0.2,,,0.012345679,0.024390244,0.023809524,0,0.022727273,0.027027027,,
5843,W7,EMD0584705,禁運品,TP,0.12,0.24,0.045,0.285,0.375,0.01,0.13,0.11,0.06,0.26,0.08,0.08,,,0.04,0.05,0.04,0.06,0.04,0.04,,,0.24,0.24,0.2,0.2,0.34,0.22,,,0,0.024390244,0,0.05,0,0,,
5843,W7,EMD0584706,新天生一對,TP,0.3,0.225,0.045,0.27,0.15,0.01,0.17,0.43,0.32,0.32,0.36,0.2,,,0.02,0.07,0.04,0.04,0.08,0.02,,,0.17,0.28,0.22,0.14,0.22,0.32,,,0,0.024390244,0,0.025,0.022727273,0,,
5843,W7,EMD0584707,地心冒險2：神秘島,TP,0.355,0.325,0.08,0.405,0.225352113,0.02,0.41,0.3,0.38,0.36,0.36,0.32,,,0.09,0.07,0.06,0.06,0.12,0.08,,,0.31,0.34,0.36,0.36,0.24,0.34,,,0.037037037,0.012195122,0.023809524,0.05,0,0.027027027,,
5843,W7,EMD0584708,逆戰,TP,0.225,0.185,0.055,0.24,0.244444444,0,0.24,0.21,0.12,0.28,0.24,0.26,,,0.06,0.05,0.04,0.04,0.12,0.02,,,0.22,0.15,0.16,0.12,0.26,0.2,,,0,0,0,0,0,0,,
5843,W7,EMD0584709,即刻反擊,TP,0.195,0.255,0.05,0.305,0.256410256,0.01,0.2,0.19,0.16,0.2,0.16,0.26,,,0.07,0.03,0.02,0.02,0.1,0.06,,,0.28,0.23,0.2,0.26,0.3,0.26,,,0.012345679,0.012195122,0.023809524,0.025,0,0,,
5843,W7,EMD0584801,寶島大爆走,TP,0.305,0.19,0.06,0.25,0.196721311,0.02,0.29,0.32,0.28,0.44,0.24,0.26,,,0.08,0.04,0.08,0,0.12,0.04,,,0.22,0.16,0.12,0.22,0.24,0.18,,,0.037037037,0.012195122,0.023809524,0,0.022727273,0.054054054,,
5843,W7,EMD0584903,愛的麵包魂,TP,0.22,0.15,0.065,0.215,0.295454545,0.02,0.19,0.25,0.18,0.24,0.28,0.18,,,0.09,0.04,0.06,0.02,0.12,0.06,,,0.12,0.18,0.12,0.16,0.16,0.16,,,0.037037037,0.012195122,0.023809524,0.025,0.022727273,0.027027027,,
5843,W7,EMD0584904,大魔術師,TP,0.095,0.22,0.015,0.235,0.157894737,0,0.08,0.11,0.08,0.12,0.14,0.04,,,0.02,0.01,0,0,0.06,0,,,0.19,0.25,0.16,0.2,0.26,0.26,,,0,0,0,0,0,0,,
5843,W7,EMD0584905,超能失控,TP,0.045,0.195,0.02,0.215,0.444444444,0,0.05,0.04,0.04,0.02,0.04,0.08,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.23,0.16,0.14,0.12,0.26,0.26,,,0,0,0,0,0,0,,
5843,W7,EMD0585002,星際大戰：威脅潛伏3D版,TP,0.19,0.285,0.105,0.39,0.552631579,0.025,0.2,0.18,0.12,0.24,0.22,0.18,,,0.14,0.07,0.08,0.12,0.12,0.1,,,0.33,0.24,0.28,0.32,0.26,0.28,,,0.024691358,0.036585366,0.047619048,0,0,0.081081081,,
5843,W7,EMD0585003,狡兔計畫,TP,0.035,0.145,0.04,0.185,1.142857143,0.005,0.04,0.03,0.02,0.04,0.02,0.06,,,0.03,0.05,0.02,0.02,0.08,0.04,,,0.18,0.11,0.14,0.12,0.18,0.14,,,0,0.012195122,0,0,0.022727273,0,,
5843,W7,EMD0585004,愛,TP,0.085,0.115,0.04,0.155,0.470588235,0.01,0.08,0.09,0.06,0.12,0.08,0.08,,,0.04,0.04,0,0.04,0.06,0.06,,,0.06,0.17,0.08,0.1,0.18,0.1,,,0.012345679,0.012195122,0,0.05,0,0,,
5843,W7,EMD0585005,美女與野獸3D版,TP,0.15,0.225,0.075,0.3,0.5,0.015,0.14,0.16,0.2,0.14,0.12,0.14,,,0.07,0.08,0.08,0.08,0.1,0.04,,,0.17,0.28,0.3,0.16,0.24,0.2,,,0.024691358,0.012195122,0.023809524,0,0.022727273,0.027027027,,
5843,W7,EMD0585006,頭號冤家,TP,0.19,0.225,0.035,0.26,0.184210526,0,0.17,0.21,0.14,0.16,0.3,0.16,,,0.04,0.03,0,0.04,0.02,0.08,,,0.2,0.25,0.26,0.2,0.24,0.2,,,0,0,0,0,0,0,,
5844,W8,EMD0584401,鞋貓劍客,TP,0.7,0.365,0.205,0.57,0.292857143,0.09,0.64,0.76,0.68,0.76,0.64,0.72,,,0.18,0.23,0.26,0.18,0.14,0.24,,,0.37,0.36,0.42,0.42,0.4,0.22,,,0.152542373,0.128571429,0.161290323,0.111111111,0.034482759,0.242424242,,
5844,W8,EMD0584402,千禧三部曲I：龍紋身的女孩,TP,0.775,0.37,0.235,0.605,0.303225806,0.11,0.71,0.84,0.72,0.82,0.78,0.78,,,0.12,0.35,0.18,0.16,0.2,0.4,,,0.43,0.31,0.38,0.48,0.4,0.22,,,0.084745763,0.242857143,0.161290323,0.138888889,0.172413793,0.212121212,,
5844,W8,EMD0584403,醉後型男日記,TP,0.635,0.39,0.13,0.52,0.204724409,0.06,0.65,0.62,0.66,0.62,0.64,0.62,,,0.11,0.15,0.1,0.16,0.18,0.08,,,0.4,0.38,0.4,0.44,0.3,0.42,,,0.101694915,0.085714286,0.032258065,0.111111111,0.137931034,0.090909091,,
5844,W8,EMD0584501,黑暗時刻,TP,0.415,0.37,0.155,0.525,0.373493976,0.035,0.41,0.42,0.32,0.5,0.36,0.48,,,0.16,0.15,0.14,0.16,0.12,0.2,,,0.39,0.35,0.28,0.48,0.28,0.44,,,0.050847458,0.057142857,0,0.111111111,0.068965517,0.03030303,,
5844,W8,EMD0584601,龍飛鳳舞,TP,0.28,0.18,0.04,0.22,0.142857143,0.015,0.22,0.34,0.24,0.3,0.24,0.34,,,0.03,0.05,0.02,0.02,0.06,0.06,,,0.19,0.17,0.22,0.24,0.12,0.14,,,0.016949153,0.028571429,0.032258065,0,0.034482759,0.03030303,,
